team,opponent,date,hour,category,possession,number of goals,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,tournament
Canada,Croatia,2022-11-27,17 : 00,Group F,46%,1,9,4,1,0,1,2,3,2,7,8,4,3,4,13,592,121,247,224,6,201,134,15,6,2,0,5,3,511,434,15,5,7,2,14,0,13,0,72,316,WC 2022
Germany,Spain,2022-11-27,20 : 00,Group E,33%,1,10,1,1,0,1,4,5,7,3,3,3,4,3,8,440,108,177,155,9,143,83,17,7,3,0,11,5,352,281,13,1,2,5,15,0,7,0,101,387,WC 2022
Serbia,Cameroon,2022-11-28,11 : 00,Group G,49%,3,16,3,2,1,3,6,8,11,5,20,4,16,5,12,583,124,261,198,11,184,122,22,12,2,0,13,4,513,433,23,4,5,3,8,0,13,0,81,234,WC 2022
Ghana,South Korea,2022-11-28,14 : 00,Group H,32%,3,8,2,3,0,2,3,3,7,1,8,3,4,3,7,389,72,157,160,5,122,66,12,5,2,0,9,1,319,260,13,4,3,5,14,0,21,0,75,324,WC 2022
Switzerland,Brazil,2022-11-28,17 : 00,Group G,40%,0,4,1,0,0,0,0,1,2,2,7,3,4,6,10,568,128,212,228,4,173,100,17,4,1,0,17,1,488,415,11,3,2,3,13,0,9,0,80,344,WC 2022
Uruguay,Portugal,2022-11-28,20 : 00,Group H,35%,0,10,2,0,0,0,3,6,6,4,13,8,4,5,9,413,115,155,143,6,150,86,17,11,2,0,16,0,390,306,18,5,2,2,13,0,14,0,81,362,WC 2022
Qatar,Netherlands,2022-11-29,16 : 00,Group A,38%,0,6,2,0,0,0,4,2,2,4,10,7,5,4,6,574,100,245,229,11,161,107,15,10,0,0,9,0,459,394,16,4,10,2,24,0,14,0,52,322,WC 2022
Senegal,Ecuador,2022-11-29,16 : 00,Group A,32%,2,15,1,2,0,0,5,8,11,4,14,0,2,7,10,268,76,115,77,12,153,84,20,12,1,0,11,3,269,198,20,5,6,6,22,1,8,0,62,243,WC 2022
England,Wales,2022-11-29,20 : 00,Group B,58%,3,17,0,2,1,2,7,6,13,4,10,4,7,12,9,777,140,310,327,9,167,131,13,8,0,0,9,1,588,529,17,7,6,6,17,0,8,0,56,167,WC 2022
United States,Iran,2022-11-29,20 : 00,Group B,45%,1,12,0,1,0,1,5,4,8,4,11,7,7,5,17,697,133,262,302,17,185,133,27,16,1,0,10,1,470,413,22,2,8,5,15,0,6,0,74,302,WC 2022
Denmark,Australia,2022-11-30,16 : 00,Group D,60%,0,14,1,0,0,0,3,7,11,3,27,5,4,6,19,640,146,259,235,17,241,172,21,17,1,0,10,3,650,567,32,5,9,6,12,0,8,0,74,161,WC 2022
France,Tunisia,2022-11-30,16 : 00,Group D,56%,0,9,1,0,0,0,3,4,4,5,14,6,5,3,21,630,96,212,322,11,138,99,10,4,0,0,6,2,636,566,20,5,3,8,17,0,6,0,80,202,WC 2022
Argentina,Poland,2022-11-30,20 : 00,Group C,67%,2,25,0,2,0,2,13,8,21,4,25,8,7,10,26,907,175,282,450,21,214,188,25,19,1,0,11,0,862,814,22,5,11,9,5,0,4,0,48,141,WC 2022
Mexico,Saudi Arabia,2022-11-30,20 : 00,Group C,55%,2,25,1,1,1,1,10,8,10,15,16,5,3,7,16,492,194,158,140,17,198,121,33,16,1,0,18,6,412,336,34,6,4,8,22,0,10,0,76,229,WC 2022
Belgium,Croatia,2022-12-01,16 : 00,Group F,47%,0,15,0,0,0,0,4,7,12,3,18,5,7,4,9,581,123,181,277,12,177,115,26,14,1,0,9,0,596,531,24,8,4,4,11,0,11,0,68,346,WC 2022
Morocco,Canada,2022-12-01,16 : 00,Group F,36%,2,7,1,1,1,1,2,2,4,3,6,0,3,4,5,493,78,227,188,8,147,85,16,7,0,0,14,4,384,308,7,1,14,2,18,0,7,1,72,324,WC 2022
Spain,Japan,2022-12-01,20 : 00,Group E,78%,1,14,2,1,0,1,5,3,7,7,30,9,6,11,22,1138,174,286,678,17,190,140,21,15,0,0,6,2,1070,992,20,2,9,2,11,0,6,0,49,150,WC 2022
Germany,Costa Rica,2022-12-01,20 : 00,Group E,60%,4,32,2,4,0,4,11,17,24,8,29,13,13,12,15,747,217,272,258,28,193,159,34,25,0,0,9,3,727,661,38,12,5,14,7,0,8,0,77,230,WC 2022
Uruguay,Ghana,2022-12-02,16 : 00,Group H,39%,2,12,0,2,0,1,7,5,7,5,7,2,13,3,17,424,117,157,150,14,186,124,24,14,5,0,11,2,446,361,15,4,6,2,20,0,9,0,84,293,WC 2022
Portugal,South Korea,2022-12-02,16 : 00,Group H,55%,1,12,2,1,0,1,4,6,5,7,23,7,5,8,12,740,159,195,386,12,178,123,21,12,0,0,11,5,606,541,22,6,11,4,10,0,12,0,50,233,WC 2022
