team,player,goals_12mo,n_pens_12mo,last_goal_date,goals_24mo
Senegal,Iliman Ndiaye,2,0,2026-01-09,2
South Africa,Evidence Makgopa,2,0,2026-01-04,2
Suriname,Dhoraso Klas,2,0,2025-11-13,2
Sweden,Anthony Elanga,2,0,2026-03-31,2
Switzerland,Granit Xhaka,2,2,2025-11-15,2
Switzerland,Johan Manzambi,2,0,2025-11-15,2
Trinidad and Tobago,Kevin Molino,2,1,2025-11-13,2
Trinidad and Tobago,Kobi Henry,2,0,2025-11-18,2
Trinidad and Tobago,Levi García,2,0,2025-06-10,2
Trinidad and Tobago,Tyrese Spicer,2,0,2025-10-14,2
Tunisia,Ali Abdi,2,2,2025-12-27,2
Tunisia,Ferjani Sassi,2,0,2025-10-13,2
Tunisia,Firas Chaouat,2,0,2026-01-03,2
Tunisia,Ismaël Gharbi,2,1,2025-12-30,2
Uganda,Jude Ssemugabi,2,0,2025-10-09,2
United Arab Emirates,Caio Lucas,2,0,2025-11-18,2
United States,Chris Richards,2,0,2025-07-06,2
United States,Patrick Agyemang,2,0,2025-06-22,2
Uruguay,Giorgian de Arrascaeta,2,0,2025-09-04,2
Wales,Joe Rodon,2,0,2025-10-13,2
Wales,Nathan Broadhead,2,0,2025-11-18,2
Georgia,Georges Mikautadze,1,0,2025-09-07,11
Argentina,Lautaro Martínez,1,0,2025-09-04,9
Iran,Mehdi Taremi,1,0,2025-06-10,8
Colombia,Luis Díaz,1,0,2025-06-10,7
Iraq,Aymen Hussein,1,0,2026-03-31,7
Burkina Faso,Lassina Traoré,1,0,2025-12-31,6
Ecuador,Enner Valencia,1,1,2025-09-09,6
Kosovo,Vedat Muriqi,1,0,2025-09-08,6
North Macedonia,Bojan Miovski,1,0,2025-11-18,6
United Arab Emirates,Harib Abdalla,1,0,2025-06-10,6
Cyprus,Ioannis Pittas,1,1,2025-10-09,5
Czechia,Pavel Šulc,1,0,2026-03-31,5
France,Randal Kolo Muani,1,0,2025-06-05,5
Madagascar,Rayan Raveloson,1,0,2025-09-08,5
Northern Ireland,Isaac Price,1,0,2025-09-07,5
Argentina,Julián Alvarez,1,0,2025-06-05,4
Austria,Christoph Baumgartner,1,0,2025-06-10,4
Belgium,Romelu Lukaku,1,1,2025-06-09,4
Brazil,Vinícius Júnior,1,0,2025-06-10,4
Georgia,Giorgi Kochorashvili,1,0,2025-10-14,4
Hungary,Dominik Szoboszlai,1,0,2025-10-14,4
Israel,Mohammad Abu Fani,1,1,2025-06-06,4
North Korea,Ri Jo-guk,1,0,2025-06-05,4
Palestine,Wessam Abou Ali,1,1,2025-06-05,4
Paraguay,Julio Enciso,1,1,2025-06-05,4
Slovakia,Ivan Schranz,1,0,2025-10-13,4
South Korea,Lee Jae-sung,1,0,2025-06-10,4
South Korea,Lee Kang-in,1,0,2025-06-10,4
Spain,Dani Olmo,1,0,2025-11-18,4
Spain,Nico Williams,1,0,2025-06-05,4
Türkiye,Arda Güler,1,0,2025-10-11,4
Türkiye,Hakan Çalhanoğlu,1,1,2025-11-15,4
Albania,Rey Manaj,1,0,2025-10-11,3
Argentina,Thiago Almada,1,0,2025-06-10,3
Austria,Romano Schmid,1,0,2025-10-09,3
Cameroon,Bryan Mbeumo,1,0,2025-10-08,3
Colombia,James Rodríguez,1,0,2025-09-04,3
Costa Rica,Orlando Galo,1,0,2025-06-07,3
Croatia,Luka Modrić,1,1,2025-06-09,3
Czechia,Tomáš Chorý,1,0,2025-11-17,3
England,Declan Rice,1,0,2025-09-06,3
Equatorial Guinea,Iban Salvador,1,0,2025-09-04,3
Finland,Joel Pohjanpalo,1,1,2025-06-10,3
France,Adrien Rabiot,1,0,2025-10-10,3
France,Bradley Barcola,1,0,2025-09-09,3
Ghana,Thomas Partey,1,0,2025-10-08,3
Greece,Vangelis Pavlidis,1,0,2025-09-05,3
Iceland,Andri Guðjohnsen,1,0,2025-09-09,3
Indonesia,Ole Romeny,1,1,2025-06-05,3
Italy,Andrea Cambiaso,1,0,2025-06-09,3
Japan,Takefusa Kubo,1,0,2025-06-10,3
Moldova,Ion Nicolaescu,1,0,2025-11-16,3
Nicaragua,Bancy Hernández,1,0,2025-11-13,3
Panama,José Luis Rodríguez,1,0,2025-11-18,3
Poland,Karol Świderski,1,0,2026-03-31,3
Poland,Nicola Zalewski,1,0,2026-03-31,3
Poland,Sebastian Szymański,1,0,2025-10-12,3
Portugal,Bernardo Silva,1,0,2025-09-09,3
Saudi Arabia,Musab Al-Juwayr,1,0,2025-06-05,3
United Arab Emirates,Sultan Adil,1,0,2025-10-14,3
Angola,Fredy,1,0,2025-09-09,2
Angola,Gelson Dala,1,0,2025-12-26,2
Belgium,Leandro Trossard,1,0,2025-10-13,2
Benin,Jodel Dossou,1,0,2026-01-05,2
Bermuda,Zeiko Lewis,1,1,2025-06-04,2
Bolivia,Enzo Monteiro,1,0,2025-06-10,2
Botswana,Gape Mohutsiwa,1,0,2025-10-14,2
Botswana,Tebogo Kopelang,1,0,2025-09-04,2
Brazil,Lucas Paquetá,1,0,2025-09-04,2
Burkina Faso,Josué Tiendrébéogo,1,0,2025-09-05,2
Burkina Faso,Mohamed Zougrana,1,0,2025-10-08,2
Cape Verde,Diney,1,0,2025-09-04,2
Central African Republic,Vénuste Baboula,1,0,2025-10-12,2
Colombia,Juan Fernando Quintero,1,0,2025-09-04,2
Comoros,Myziane Maolida,1,0,2025-09-07,2
Comoros,Rafiki Saïd,1,0,2025-10-08,2
