match_id,home_team,away_team,lambda_home,lambda_away,mode_home_score,mode_away_score,exp_home_score,exp_away_score,p_home_win,p_draw,p_away_win
51,Scotland,Brazil,0.7614581082090139,1.4704752787693671,0,1,0.761457111435215,1.4702920515184585,0.1893264768807406,0.27475748564244806,0.5359160374768114
52,Morocco,Haiti,1.72151375318956,0.8161466494760542,1,0,1.7209248224479765,0.8161448877215062,0.5848025860332617,0.2442484180169575,0.1709489959497809
53,Czechia,Mexico,0.751444438023566,1.510533303096719,0,1,0.7514435442999814,1.5103090963638528,0.1813847943318303,0.2694391481094144,0.5491760575587554
54,South Africa,South Korea,0.9413052453360127,1.529767094473065,1,1,0.941299631620367,1.5295206313739966,0.22773411846958647,0.26689700134289757,0.505368880187516
55,Curaçao,Côte d'Ivoire,0.7405849614490259,1.083095759622453,0,1,0.7405841689083597,1.0830785369875362,0.24285830516622803,0.3291602955362943,0.4279813992974777
56,Ecuador,Germany,0.6378093859399829,1.1487711539726206,0,1,0.637809157011123,1.1487437585698055,0.19981103896966568,0.3240143485745123,0.47617461245582204
57,Japan,Sweden,2.2024551996774835,1.0429934852108032,2,1,2.1991106730566727,1.0429807194056997,0.6331942734184989,0.20189189288978687,0.16491383369171428
58,Tunisia,Netherlands,0.836300905677649,1.6029769644271903,0,1,0.8362987551658726,1.6026280805136317,0.19077008085681169,0.25859416261968926,0.5506357565234992
59,United States,Türkiye,1.7188199000424238,1.1508154590282584,1,1,1.7182376458277488,1.1507876785722486,0.5023658556124069,0.2467691933878449,0.2508649509997483
60,Paraguay,Australia,0.6318147159963095,0.9057540098550549,0,0,0.6318145044558338,0.9057498963871362,0.2377491248579635,0.36598686402564384,0.39626401111639253
61,Norway,France,0.949736199104028,1.352462187075269,1,1,0.9497301673790672,1.3523650814913333,0.2583222005048325,0.2859570090467785,0.4557207904483889
62,Senegal,Iraq,1.1686220304057653,0.6058945110061762,1,0,1.1685906959822059,0.6058943620988709,0.4912679071701733,0.3217557391674885,0.1869763536623382
63,Cape Verde,Saudi Arabia,0.667550062738221,0.7385717800991544,0,0,0.667549727833897,0.7385710051802488,0.2832524404932987,0.39085064523480484,0.32589691427189627
64,Uruguay,Spain,0.5669698265118589,1.4303441190162887,0,1,0.5669697413417633,1.4301954357535864,0.1426033874286323,0.2785421572259236,0.5788544553454441
65,Egypt,Iran,0.990966874254359,0.9707768185129766,0,0,0.9909583894717294,0.9707696248279352,0.34413283084121465,0.32239312981110285,0.33347403934768255
66,New Zealand,Belgium,1.0306450825421392,1.645703177731048,1,1,1.0306334718302734,1.6452795858543419,0.2328174692319783,0.25429621275962355,0.5128863180083981
67,Panama,England,0.6354482778159216,1.8618745325990642,0,1,0.6354480558789425,1.8608382158447663,0.11600876141196226,0.21999649850462927,0.6639947400834085
68,Croatia,Ghana,1.2313155576646253,0.7790683011328612,1,0,1.2312684542042032,0.7790670979980803,0.463763461944053,0.30648913726363297,0.22974740079231415
69,Colombia,Portugal,1.0372073742254562,1.629829527128515,1,1,1.037195161374519,1.6294351099654292,0.2368135736903621,0.25580912237688336,0.5073773039327545
70,DR Congo,Uzbekistan,0.73729488237539,0.6301592907847132,0,0,0.7372941184562485,0.6301590838383125,0.3341823519595793,0.3965919769822769,0.269225671058144
71,Algeria,Austria,1.1094581198294593,1.0812793835335974,1,1,1.1094372918431705,1.0812623882651955,0.35599808135001376,0.3022134338024582,0.3417884848475282
72,Jordan,Argentina,0.6863395250801296,1.6468662902706437,0,1,0.6863391031338922,1.6464404917866133,0.14874734837670262,0.25010723124975937,0.601145420373538
